Word,Difficulty Level,Vowel Harmony Rule,Arabic Translation,Usage Sentence (Turkish),Usage Sentence (Arabic)
kısa,A1,I-type (back),قصير,Kısa bir hikaye.,قصة قصيرة
kabuk,B1,I-type (back),قشرة,Ağaç kabuğu sert,قشرة الشجرة صلبة
yarıçap,C1,I-type (back),نصف القطر,Yarıçapı ölçtüm.,قست نصف القطر.
köpekbalığı,B1,E-type,قرش,Tehlikeli köpekbalığı,قرش خطير
maymun,A2,I-type,قرد,Sevimli maymun,قرد لطيف
kütüphane,A2,Mixed,مكتبة,Kütüphanede kitap okudum.,قرأت كتاباً في المكتبة.
kalın,A2,I-type (back),سميك,Kalın bir kitap okudum.,قرأت كتاباً سميكاً.
kısa,A1,I-type (back),قصير,Kısa bir hikaye okudum.,قرأت قصة قصيرة.
elli,A1,E-type (front),خمسون,Elli kitap okudum.,قرأت خمسين كتاباً.
anlık,B2,I-type (back),لحظي,Anlık karar,قرار لحظي
jet ski,B2,Mixed,دراجة مائية,Jet ski sürdük.,قدنا الدراجة المائية.
ayak,A1,I-type (back),قدم,Büyük ayak,قدم كبيرة
sahne,B1,E-type (front),مسرح,Sahnede performans sergiledi.,قدم عرضاً على المسرح
bodrum,B1,I-type (back),قبو,Karanlık bodrum,قبو مظلم
keşif,B2,E-type (front),اكتشاف,Büyük bir keşif yaptılar.,قاموا باكتشاف كبير
fil,A1,E-type,فيل,Büyük fil,فيل كبير
vitamin,B1,E-type (front),فيتامين,C vitamini,فيتامين ج
sıvı,B1,I-type (back),سائل,Sıvı halde,في حالة سائلة
bölüm,B1,E-type (front),قسم,Hangi bölümdesin?,في أي قسم أنت؟
yetmiş,A1,E-type (front),سبعون,Yetmiş yaşında.,في السبعين من عمره.
krom,C1,I-type (back),كروم,Krom çelik,فولاذ الكروم
fincan,A2,I-type (back),فنجان,Çay fincanı güzel.,فنجان الشاي جميل.
acı,A2,I-type (back),مر/حار,Acı biber,فلفل حار
anahtar,A2,I-type (back),مفتاح,Anahtarımı kaybettim,فقدت مفتاحي
anahtar,A2,I-type (back),مفتاح,Anahtarım kayboldu.,فقدت مفتاحي
şapka,A2,I-type (back),قبعة,Şapkamı kaybettim.,فقدت قبعتي
kart,A2,I-type (back),بطاقة,Kredi kartım kayboldu.,فقدت بطاقتي الائتمانية
bagaj,B1,I-type (back),أمتعة,Bagajımı kaybettim.,فقدت أمتعتي
mevsim,B1,E-type (front),فصل,En sevdiğim mevsim yaz.,فصلي المفضل هو الصيف.
mevsim,B1,E-type (front),فصل,En sevdiğim mevsim,فصلي المفضل
kirli,A1,E-type (front),متسخ,Kirli elbise,فستان متسخ
mor,A1,I-type,بنفسجي,Mor elbise,فستان بنفسجي
fırın,A2,I-type (back),فرن,Elektrikli fırın,فرن كهربائي
sevinmek,B1,E-type (front),يفرح,Haberi duyunca sevindim.,فرحت عندما سمعت الخبر
kelebekç,A2,E-type,فراشة,Renkli kelebek,فراشة ملونة
ultrason,B2,I-type (back),الترا ساوند,Ultrason muayenesi,فحص الالترا ساوند
coğrafya,B2,I-type (back),جغرافيا,Coğrafya haritası açtık.,فتحنا خريطة الجغرافيا
müzik seti,B1,Mixed,جهاز موسيقى,Müzik seti açtım.,فتحت جهاز الموسيقى.
pencere,A2,E-type (front),نافذة,Pencereyi açtım.,فتحت النافذة
mikrofon,A2,E-type (front),ميكروفون,Mikrofonu açtım.,فتحت الميكروفون.
web sitesi,B1,Mixed,موقع إلكتروني,Web sitesi açtım.,فتحت الموقع الإلكتروني.
ocak,A1,I-type (back),موقد,Ocağı açtım.,فتحت الموقد.
dosya,B1,I-type (back),ملف,Dosyayı açtım.,فتحت الملف
tarayıcı,B1,I-type (back),متصفح,Tarayıcı açtım.,فتحت المتصفح.
perde,B1,E-type (front),ستارة,Perdeyi açtım.,فتحت الستارة
tornavida,B2,I-type (back),مفك براغي,Tornavidayla vida açtım.,فتحت البرغي بالمفك
sekreter,A2,E-type (front),سكرتير,Sekreter telefon açtı,فتح السكرتير الهاتف
genç,A2,E-type (front),شاب,Genç bir kız.,فتاة شابة
mavi,A1,I-type (back),أزرق,Mavi gözlü bir kız.,فتاة زرقاء العينين
güzel,A1,E-type (front),جميل,Çok güzel bir kız.,فتاة جميلة جداً.
şubat,A1,I-type (back),فبراير,Şubat kısa bir ay.,فبراير شهر قصير.
fare,A2,I-type,فأر,Küçük fare,فأر صغير
tatlı,A1,I-type (back),حلو,Tatlı meyve,فاكهة حلوة
turuncu,A1,I-type,برتقالي,Turuncu meyve,فاكهة برتقالية
gri,A1,E-type,رمادي,Gri bulut,غيمة رمادية
el,A1,E-type (front),يد,Ellerimi yıkadım.,غسلت يدي.
sabun,A2,I-type (back),صابون,Sabunla ellerimi yıkadım.,غسلت يدي بالصابون
el,A1,E-type (front),يد,Elimi yıkadım.,غسلت يدي
yüz,A1,E-type (front),وجه,Yüzümü yıkadım.,غسلت وجهي.
kirli,A1,E-type (front),متسخ,Kirli kıyafetlerimi yıkadım.,غسلت ملابسي المتسخة.
şampuan,B1,I-type (back),شامبو,Şampuanla saçımı yıkadım.,غسلت شعري بالشامبو
sabun,A1,I-type (back),صابون,Sabun ile yıkadım.,غسلت بالصابون.
iç çamaşırı,B2,E-type (front),ملابس داخلية,İç çamaşırı yıkadım.,غسلت الملابس الداخلية
tabak,A2,I-type (back),طبق,Tabağı yıkadım.,غسلت الطبق
çamaşır makinesi,A2,I-type (back),غسالة ملابس,Otomatik çamaşır makinesi,غسالة ملابس أوتوماتيكية
bulaşık makinesi,B1,I-type (back),غسالة صحون,Sessiz bulaşık makinesi,غسالة صحون هادئة
bulaşık makinesi,B1,Mixed,غسالة أطباق,Bulaşık makinesi yararlı.,غسالة الأطباق مفيدة.
oda,A1,I-type (back),غرفة,Odam çok güzel,غرفتي جميلة جداً
sessiz,A2,E-type (front),هادئ,Sessiz oda,غرفة هادئة
temiz,A1,E-type (front),نظيف,Temiz oda,غرفة نظيفة
temiz,A2,E-type (front),نظيف,Temiz bir oda.,غرفة نظيفة
oda,A1,I-type (back),غرفة,Büyük oda,غرفة كبيرة
yatak odası,A1,I-type (back),غرفة النوم,Yatak odası temiz,غرفة النوم نظيفة
öğretmenler odası,A2,Mixed,غرفة المعلمين,Öğretmenler odası sessiz.,غرفة المعلمين هادئة.
kıskanmak,B2,I-type (back),يغار,Arkadaşımı kıskandım.,غرت من صديقي
yarın,A1,I-type (back),غداً,Yarın tatil,غداً عطلة
helyum,C1,E-type (front),هيليوم,Helyum gazı,غاز الهيليوم
hidrojen,C1,E-type (front),هيدروجين,Hidrojen gazı,غاز الهيدروجين
klor,C1,I-type (back),كلور,Klor gazı,غاز الكلور
argon,C2,I-type (back),أرغون,Argon gazı,غاز الأرغون
orman,A2,I-type (back),غابة,Yeşil orman,غابة خضراء
göz,A1,I-type (back),عين,Gözlerim mavi.,عيناي زرقاوان
doğum,B1,I-type (back),ولادة,Doğum günü bugün.,عيد الميلاد اليوم
örümcek,B1,E-type,عنكبوت,Ağ ören örümcek,عنكبوت ينسج الشبكة
boyun,A2,I-type (back),عنق,Boynum ağrıyor.,عنقي يؤلمني.
kükürt,C1,E-type (front),كبريت,Kükürt elementi,عنصر الكبريت
flor,C1,I-type (back),فلور,Flor elementi,عنصر الفلور
brom,C2,I-type (back),بروم,Brom elementi,عنصر البروم
amca,A1,I-type (back),عم,Amcam İzmir'de yaşıyor.,عمي يعيش في إزمير.
amca,A1,I-type (back),عم,Amcam çok komik.,عمي مضحك جداً.
amca,A2,I-type (back),عم,Amcam zengin,عمي غني
endoskopi,C1,E-type (front),منظار,Endoskopi işlemi,عملية المنظار
erişte,B1,E-type (front),شعيرية,Erişte çorbası yaptık.,عملنا شوربة الشعيرية.
laboratuvar,B1,I-type (back),مختبر,Laboratuvarda deney yaptık.,عملنا تجربة في المختبر.
sos,A1,I-type (back),صوص,Domates sosu yaptım.,عملت صوص الطماطم.
sandviç,A2,E-type (front),سندويش,Sandviç yaptım.,عملت سندويش.
altı,A1,I-type (back),ستة,Altı saat çalıştım.,عملت ست ساعات.
saat,A1,I-type (back),ساعة,Üç saat çalıştım,عملت ثلاث ساعات
tereyağı,A2,Mixed,زبدة,Tereyağı ile yaptim.,عملت بالزبدة.
röntgen,B2,E-type (front),أشعة سينية,Röntgen çektirdim,عملت أشعة سينية
spagetti,A2,E-type (front),سباغيتي,Spagetti yaptım.,عملت السباغيتي.
cacık,A2,I-type (back),خيار بالزبادي,Cacık yaptım.,عملت الخيار بالزبادي.
geçici,B2,E-type (front),مؤقت,Geçici iş,عمل مؤقت
mantı,A2,I-type (back),مانتي,Mantı yapmak zor.,عمل المانتي صعب.
derinlik,B1,E-type,عمق,On metre derinlik,عمق عشرة أمتار
sekiz,A1,E-type (front),ثمانية,Sekiz yaşındayım.,عمري ثماني سنوات.
yarılanma,C1,I-type (back),انتصاف,Yarılanma ömrü,عمر النصف
hala,A2,I-type (back),عمة,Halam çok iyi,عمتي جيدة جداً
hala,A1,I-type (back),عمة,Halam güzel şarkı söylüyor.,عمتي تغني بجمال.
hala,A1,I-type (back),عمة,Halam yemek pişiriyor.,عمتي تطبخ الطعام.
astronomi,C1,I-type (back),فلك,Astronomi çok ilginç.,علم الفلك مثير للاهتمام جداً
kemik,A2,E-type (front),عظم,Güçlü kemik,عظم قوي
kalça,B1,I-type (back),ورك,Kalça kemiği,عظم الورك
yaz,A1,I-type (back),صيف,Yaz tatili,عطلة الصيف
öğretim görevlisi,B2,Mixed,عضو هيئة تدريس,Öğretim görevlisi ders veriyor.,عضو هيئة التدريس يعطي درساً.
kas,B1,I-type (back),عضلة,Güçlü kas,عضلة قوية
dil,A1,E-type (front),لسان,Dilimi ısırdım.,عضضت لساني.
dil,A1,E-type (front),لسان,Dilimi ısırdım.,عضضت لساني
serçe,B1,E-type,عصفور,Küçük serçe,عصفور صغير
limon suyu,A2,Mixed,عصير ليمون,Limon suyu sıktım.,عصرت عصير الليمون.
on,A1,I-type (back),عشرة,On öğrenci sınıfta.,عشرة طلاب في الفصل.
genişlik,A2,E-type,عرض,Bir metre genişlik,عرض متر واحد
bale,B2,E-type (front),باليه,Bale gösterisi güzeldi.,عرض الباليه كان جميلاً
at arabası,B1,Mixed,عربة حصان,At arabası eski.,عربة الحصان قديمة.
nötron,C1,E-type (front),نيوترون,Nötron sayısı,عدد النيوترونات
proton,C1,I-type (back),بروتون,Proton sayısı,عدد البروتونات
hamur,B1,I-type (back),عجين,Hamuru yoğurdum.,عجنت العجين
kaş,B2,I-type (back),حاجب,Kaşlarını çattı.,عبس حاجبيه
feribot,B1,E-type (front),عبارة,Feribot ile geçtik.,عبرنا بالعبارة.
köprü,A1,E-type (front),جسر,Köprüden geçtim.,عبرت من الجسر.
aile,A1,I-type (back),عائلة,Ailem çok büyük,عائلتي كبيرة جداً
aile,A2,E-type (front),عائلة,Ailem çok büyük.,عائلتي كبيرة جداً
zengin,A2,E-type (front),غني,Zengin aile,عائلة غنية
zengin,B1,E-type (front),غني,Zengin bir aile.,عائلة غنية
temizlik görevlisi,A2,Mixed,عامل نظافة,Temizlik görevlisi ofisi temizledi.,عامل النظافة نظف المكتب.
inşaat,B2,I-type (back),إنشاءات,İnşaat işçisi çalışıyor.,عامل البناء يعمل.
sırt,A1,I-type (back),ظهر,Sırtım ağrıyor.,ظهري يؤلمني.
gökkuşağı,B1,E-type,قوس قزح,Gökkuşağı çıktı,ظهر قوس قزح
tırnak,A2,I-type (back),ظفر,Uzun tırnak,ظفر طويل
uzunluk,A2,I-type,طول,İki metre uzunluk,طولان متران
boşanmak,B2,I-type (back),يطلق,Geçen yıl boşandılar.,طلقوا العام الماضي
pizza,A2,I-type (back),بيتزا,Pizza sipariş ettik.,طلبنا بيتزا.
cappuccino,B1,I-type (back),كابتشينو,Cappuccino sipariş ettim.,طلبت كابتشينو.
platin,C1,I-type (back),بلاتين,Platin kaplama,طلاء البلاتين
değişken,B2,E-type (front),متغير,Değişken hava,طقس متغير
hasta,A1,I-type (back),مريض,Hasta çocuk,طفل مريض
mutlu,A1,I-type (back),سعيد,Mutlu çocuk,طفل سعيد
donmuş,B1,I-type (back),مجمد,Donmuş gıda,طعام مجمد
baharatlı,B1,I-type (back),متبل,Baharatlı yemek,طعام متبل
sağlıklı,A2,I-type (back),صحي,Sağlıklı yemek,طعام صحي
lezzetsiz,B1,E-type (front),بلا طعم,Lezzetsiz yemek,طعام بلا طعم
tavuk,A1,I-type (back),دجاج,Tavuk yemeği çok lezzetli.,طعام الدجاج لذيذ جداً.
düz,A2,E-type (front),مستقيم,Düz yol,طريق مستقيم
çamur,A2,I-type (back),طين,Çamurlu yol,طريق طيني
uzun,A1,I-type (back),طويل,Uzun bir yol.,طريق طويل
tehlikeli,A2,E-type (front),خطير,Tehlikeli yol,طريق خطير
sivri,B1,E-type (front),مدبب,Sivri uç,طرف مدبب
diş hekimi,B1,Mixed,طبيب أسنان,Diş hekimi dişimi çekti.,طبيب الأسنان خلع سني.
fırın,A1,I-type (back),فرن,Fırında pişirdim.,طبخت في الفرن.
dolma,A2,I-type (back),محشي,Dolma pişirdim.,طبخت المحشي.
kuş,A1,E-type,طائر,Renkli kuş,طائر ملون
sağlam,A2,I-type (back),متين,Sağlam masa,طاولة متينة
yuvarlak,A2,I-type (back),دائري,Yuvarlak masa,طاولة دائرية
masa,A1,I-type (back),طاولة,Ahşap masa,طاولة خشبية
kahverengi,A2,E-type,بني,Kahverengi masa,طاولة بنية
çalışkan,A2,I-type (back),مجتهد,Çalışkan öğrenci,طالب مجتهد
akıllı,A2,I-type (back),ذكي,Akıllı öğrenci,طالب ذكي
parlak,A2,I-type,لامع,Parlak ışık,ضوء لامع
neon,C1,E-type (front),نيون,Neon ışığı,ضوء النيون
ışık,A2,I-type,ضوء,Güneş ışığı,ضوء الشمس
kurbağa,A2,I-type,ضفدع,Yeşil kurbağa,ضفدع أخضر
gaz,B1,I-type (back),وقود/غاز,Gaza bastım.,ضغطت على دواسة الوقود
basınç,B2,I-type (back),basınç,Hava basıncı,ضغط الهواء
tansiyon,B2,I-type (back),ضغط الدم,Tansiyon yüksek,ضغط الدم عالي
gülmek,A2,E-type (front),يضحك,Şakayı duyunca güldüm.,ضحكت عندما سمعت النكتة
barbekü sos,B1,Mixed,صوص باربكيو,Barbekü sosu lezzetli.,صوص الباربكيو لذيذ.
kamera,A2,I-type (back),كاميرا,Kamera ile çektim.,صورت بالكاميرا.
hareketli,B1,E-type (front),متحرك,Hareketli resim,صورة متحركة
sürekli,B1,E-type (front),مستمر,Sürekli ses,صوت مستمر
garip,A2,E-type (front),غريب,Garip ses,صوت غريب
ses,A2,E-type,صوت,Yüksek ses,صوت عال
zayıf,A2,I-type (back),ضعيف,Zayıf ses,صوت ضعيف
zayıf,A2,I-type (back),ضعيف,Zayıf bir ses.,صوت ضعيف
keman,B2,E-type (front),كمان,Keman sesi çok güzel.,صوت الكمان جميل جداً
köşeli,B1,E-type (front),مربع,Köşeli kutu,صندوق مربع
şahin,B1,E-type,صقر,Hızlı şahin,صقر سريع
seyirci,B2,E-type (front),جمهور,Seyirciler alkışladı.,صفق الجمهور
çatı,A2,I-type (back),سطح,Çatıya çıktık.,صعدنا إلى السطح.
tepe,A2,E-type (front),تل,Tepeye çıktık.,صعدنا إلى التل.
merdiven,A1,E-type (front),درج,Merdivenle çıktım.,صعدت بالدرج.
döviz,B2,I-type (back),عملة أجنبية,Döviz bozdurdum.,صرفت عملة أجنبية
arkadaş,A1,I-type (back),صديق,Arkadaşım çok iyi.,صديقي جيد جداً.
göğüs,A2,E-type (front),صدر,Göğsüm ağrıyor.,صدري يؤلمني.
kanun,B2,I-type (back),قانون,Yeni kanun çıktı.,صدر قانون جديد.
göğüs,A2,E-type (front),صدر,Geniş göğüs,صدر عريض
kaya,B1,I-type (back),صخرة,Sert kaya,صخرة صلبة
çöl,B1,E-type,صحراء,Sıcak çöl,صحراء حارة
sağlık,B1,I-type (back),صحة,Sağlığım iyi.,صحتي جيدة.
salon,A1,I-type (back),صالة,Geniş salon,صالة واسعة
ocak,A1,I-type (back),يناير,Ocak ayı çok soğuk.,شهر يناير بارد جداً.
elips,B2,E-type,قطع ناقص,Elips şekli,شكل قطع ناقص
dudak,A2,I-type (back),شفة,Dudaklarım kuru.,شفتاي جافتان.
dudak,B1,I-type (back),شفة,Dudakları kuru.,شفتاه جافتان
aspiratör,B1,I-type (back),شفاط,Mutfak aspiratörü,شفاط المطبخ
saç,A2,I-type (back),شعر,Saçlarım uzun.,شعري طويل
kahverengi,A2,I-type (back),بني,Kahverengi saçım var.,شعري بني
sıkılmak,B1,I-type (back),يشعر بالملل,Derste sıkıldım.,شعرت بالملل في الدرس
uzun,A1,I-type (back),طويل,Uzun saç,شعر طويل
partner,B2,I-type (back),شريك,İş partnerim güvenilir.,شريكي في العمل موثوق
balkon,A2,I-type (back),شرفة,Güneşli balkon,شرفة مشمسة
cafe,A1,I-type (back),مقهى,Cafede kahve içtik.,شربنا القهوة في المقهى.
litre,A2,E-type (front),لتر,Bir litre süt içtim,شربت لتراً من الحليب
portakal,A1,I-type (back),برتقال,Portakal suyu içtim.,شربت عصير البرتقال.
nane,A2,I-type (back),نعناع,Nane çayı içtim.,شربت شاي النعناع.
zencefil,B1,E-type (front),زنجبيل,Zencefil çayı içtim.,شربت شاي الزنجبيل.
şurup,A2,I-type (back),شراب,Öksürük şurubu,شراب برد السعال
ağaç,A1,I-type (back),شجرة,Büyük bir ağaç,شجرة كبيرة
yarımada,B2,I-type (back),شبه جزيرة,Anadolu yarımadası,شبه الجزيرة الأناضولية
şeker,A1,E-type (front),سكر,Şekerli çay,شاي محلى
sıcak,A1,I-type (back),حار,Sıcak çay,شاي حار
tiyatro,A2,I-type (back),مسرح,Tiyatroda oyun izledik.,شاهدنا مسرحية في المسرح.
tiyatro,B2,I-type (back),مسرح,Tiyatro oyunu seyrettik.,شاهدنا مسرحية
tiyatro,B1,I-type (back),مسرح,Tiyatro oyunu izledik.,شاهدنا مسرحية
stadyum,A2,I-type (back),ملعب,Stadyumda maç izledik.,شاهدنا مباراة في الملعب.
video,A2,E-type (front),فيديو,Video izledim.,شاهدت فيديو.
program,A2,I-type (back),برنامج,İyi bir program izledim,شاهدت برنامجاً جيداً
sahil,B1,E-type,شاطئ,Kumlu sahil,شاطئ رملي
plaj,A2,I-type (back),شاطئ,Güzel plaj,شاطئ جميل
seminer,B2,E-type (front),ندوة,Seminere katıldım.,شاركت في الندوة
geniş,A1,E-type (front),واسع,Geniş cadde,شارع واسع
dar,A2,I-type (back),ضيق,Dar bir sokak.,شارع ضيق
gürültülü,B1,E-type (front),صاخب,Gürültülü sokak,شارع صاخب
hastalık,A2,I-type (back),مرض,Hastalığım geçti.,شُفيت من مرضي.
başkan,B1,I-type (back),رئيس,Başkan konuşma yapacak.,سيلقي الرئيس خطاباً.
aralık,A1,I-type (back),ديسمبر,Aralık kar yağacak.,سيتساقط الثلج في ديسمبر.
araba,A1,I-type (back),سيارة,Arabam çok hızlı.,سيارتي سريعة جداً
araba,A1,I-type (back),سيارة,Arabam yeni.,سيارتي جديدة
pahalı,A2,I-type (back),غالي,Çok pahalı bir araba.,سيارة غالية جداً
hızlı,A1,I-type (back),سريع,Hızlı araba,سيارة سريعة
hızlı,A2,I-type (back),سريع,Hızlı bir araba.,سيارة سريعة
yeni,A1,E-type (front),جديد,Yeni araba,سيارة جديدة
itfaiye,A2,Mixed,إطفاء,İtfaiye arabası kırmızı.,سيارة الإطفاء حمراء.
kolay,A1,I-type (back),سهل,Kolay soru,سؤال سهل
kolay,A2,I-type (back),سهل,Kolay bir soru.,سؤال سهل
altın,A1,I-type (back),ذهب,Altın bilezik,سوار ذهبي
diş,A1,E-type (front),سن,Dişim ağrıyor.,سني يؤلمني.
diş,A1,E-type (front),سن,Dişim ağrıyor.,سني يؤلمني.
diş,A1,E-type (front),سن,Dişim ağrıyor.,سني تؤلمني
nişan,B2,I-type (back),خطوبة,Nişan töreni yapacağız.,سنقيم حفل خطوبة
taze,A2,I-type (back),طازج,Taze balık,سمك طازج
balık,A1,I-type,سمك,Taze balık,سمك طازج
gök gürültüsü,B1,E-type,رعد,Gök gürültüsü duydum,سمعت الرعد
kalınlık,B1,I-type,سماكة,İnce kalınlık,سماكة رفيعة
bakır,B1,I-type (back),نحاس,Bakır tel,سلك نحاسي
kaplumbağa,B1,I-type,سلحفاة,Yavaş kaplumbağa,سلحفاة بطيئة
künt,B2,E-type (front),كليل,Künt bıçak,سكين كليل
keskin,A2,E-type (front),حاد,Keskin bıçak,سكين حاد
alçak,A2,I-type (back),منخفض,Alçak tavan,سقف منخفض
tavan,A2,I-type (back),سقف,Yüksek tavan,سقف عالي
sabit,B2,E-type (front),ثابت,Sabit fiyat,سعر ثابت
mat,B1,I-type,باهت,Mat yüzey,سطح باهت
çatı,A2,I-type (back),سطح,Kırmızı çatı,سطح أحمر
yatak,A1,I-type (back),سرير,Rahat yatak,سرير مريح
sert,A2,E-type (front),صلب,Sert yatak,سرير صلب
yengeç,B1,E-type,سرطان البحر,Kırmızı yengeç,سرطان البحر الأحمر
borç,B2,I-type (back),دين,Borcumu ödedim.,سددت ديني.
borç,B1,I-type (back),دين,Borcumu ödedim.,سددت ديني
kertenkele,B1,E-type,سحلية,Yeşil kertenkele,سحلية خضراء
ATM,A2,E-type (front),صراف آلي,ATM'den para çektim.,سحبت مالاً من الصراف الآلي
halı,A2,I-type (back),سجادة,Renkli halı,سجادة ملونة
perde,A2,E-type (front),ستارة,Mavi perde,ستارة زرقاء
nikel,C1,E-type (front),نيكل,Nikel alaşım,سبيكة النيكل
yedi,A1,E-type (front),سبعة,Yedi gün bir hafta.,سبعة أيام تساوي أسبوعاً.
gelmek,A1,E-type (front),يأتي,Yarın eve geleceğim.,سآتي إلى البيت غداً.
önce,A1,I-type (back),قبل,Önce ev işlerini bitireceğim.,سأنهي الأعمال المنزلية أولاً.
akşam,A1,I-type (back),مساء,Akşam eve geleceğim.,سأعود إلى البيت مساءً.
maden suyu,A2,Mixed,ماء معدني,Maden suyu alım.,سأشتري ماء معدني.
gecelik,B2,E-type (front),قميص نوم,Geceliğimi giyeceğim.,سأرتدي قميص النوم
eldiven,B1,E-type (front),قفازات,Eldivenlerimi giyeceğim.,سأرتدي قفازاتي
yarın,A1,I-type (back),غداً,Yarın seni göreceğim.,سأراك غداً.
çarşamba,A1,I-type (back),الأربعاء,Çarşamba doktora gideceğim.,سأذهب للطبيب يوم الأربعاء.
metro,A2,E-type (front),مترو,Metro ile gideceğim.,سأذهب بالمترو.
konferans,B2,I-type (back),مؤتمر,Konferansa gideceğim.,سأذهب إلى المؤتمر
konser,B1,I-type (back),حفل موسيقي,Konsere gideceğim.,سأذهب إلى الحفل الموسيقي
evlenmek,B1,E-type (front),يتزوج,Gelecek yıl evleneceğim.,سأتزوج العام القادم
gelecek,A1,E-type (front),القادم,Gelecek ay evleneceğim.,سأتزوج الشهر القادم.
yıl,A1,I-type (back),سنة,Bu yıl mezun olacağım.,سأتخرج هذه السنة.
bacak,A1,I-type (back),ساق,Bacağım yorgun.,ساقي متعبة.
bacak,A1,I-type (back),ساق,Bacağım ağrıyor.,ساقي تؤلمني
bacak,A1,I-type (back),ساق,Uzun bacak,ساق طويلة
otobüs,A2,E-type (front),حافلة,Otobüsle seyahat ettik.,سافرنا بالحافلة
gemi,A1,E-type (front),سفينة,Gemiyle yolculuk yaptım.,سافرت بالسفينة.
gemi,A1,E-type (front),سفينة,Gemiyle yolculuk yaptım.,سافرت بالسفينة.
polis,A2,I-type (back),شرطة,Polis yardım etti.,ساعدت الشرطة.
sekreter,B2,E-type (front),سكرتير,Sekreter yardım etti.,ساعد السكرتير
saat,A2,I-type (back),ساعة,Saatim durdu.,ساعتي توقفت
kıyı,B1,I-type (back),ساحل,Deniz kıyısı,ساحل البحر
zeytinyağı,A2,Mixed,زيت الزيتون,Zeytinyağı sağlıklı.,زيت الزيتون صحي.
yağ,A1,I-type (back),زيت,Zeytinyağı,زيت الزيتون
eş,A2,E-type (front),زوج/زوجة,Eşim çok güzel,زوجي/زوجتي جميل/ة جداً
koca,A2,I-type (back),زوج,Kocam işte çalışıyor,زوجي يعمل في العمل
koca,B1,I-type (back),زوج,Kocam mühendis.,زوجي مهندس
karı,A2,I-type (back),زوجة,Karım evde,زوجتي في البيت
karı,B1,I-type (back),زوجة,Karım doktor.,زوجتي طبيبة
sarı,A1,I-type,أصفر,Sarı çiçek,زهرة صفراء
meslektaş,B2,E-type (front),زميل عمل,Meslektaşlarım çok yardımsever.,زملائي في العمل متعاونون جداً.
müze,B1,E-type (front),متحف,Müzeyi ziyaret ettik.,زرنا المتحف
tohum,B1,I-type (back),بذرة,Tohum ektik,زرعنا البذور
müze,A1,E-type (front),متحف,Müzeyi ziyaret ettim.,زرت المتحف.
kilise,A2,E-type (front),كنيسة,Kiliseyi ziyaret ettim.,زرت الكنيسة.
zürafa,A2,I-type,زرافة,Uzun zürafa,زرافة طويلة
kırık,A2,I-type (back),مكسور,Kırık cam,زجاج مكسور
şeffaf,B1,I-type,شفاف,Şeffaf cam,زجاج شفاف
cam,A1,I-type (back),زجاج,Şeffaf cam,زجاج شفاف
şeffaf,B2,I-type (back),شفاف,Şeffaf cam.,زجاج شفاف
eritilmiş,B2,E-type (front),مذاب,Eritilmiş tereyağı,زبدة مذابة
dik,B2,E-type (front),عمودي,Dik açı.,زاوية عمودية
açı,B2,I-type (back),زاوية,90 derece açı.,زاوية 90 درجة.
patron,B1,I-type (back),رئيس,Patronum çok nazik.,رئيسي لطيف جداً
patron,A2,I-type (back),رئيس,Patronum çok iyi,رئيسي جيد جداً
akciğer,B1,E-type (front),رئة,Temiz akciğer,رئة نظيفة
kum,A2,I-type (back),رمل,Altın kum,رمل ذهبي
skateboard,B2,E-type (front),لوح تزلج,Skateboard sürmek zor.,ركوب لوح التزلج صعب.
gemi,A2,E-type (front),سفينة,Gemiye bindik.,ركبنا السفينة
otobüs,A1,E-type (front),حافلة,Otobüse bindim.,ركبت الحافلة.
otobüs,A1,E-type (front),حافلة,Otobüse bindim.,ركبت الحافلة.
otobüs,A1,I-type (back),حافلة,Otobüse bindim.,ركبت الحافلة.
otobüs,A2,E-type (front),حافلة,Otobüse bindim.,ركبت الحافلة
boyun,B1,I-type (back),رقبة,Boynum sert.,رقبتي متيبسة
boyun,B1,I-type (back),رقبة,Boynum ağrıyor.,رقبتي تؤلمني.
boyun,A2,I-type (back),رقبة,Uzun boyun,رقبة طويلة
alüminyum,B2,E-type (front),ألمنيوم,Alüminyum folyo,رقائق الألمنيوم
silisyum,C1,E-type (front),سيليكون,Silisyum çip,رقاقة السيليكون
kol,A1,I-type (back),ذراع,Kolumu kaldırdım.,رفعت ذراعي
yüklemek,B1,E-type (front),يرفع,Fotoğrafı yükledi.,رفع الصورة.
zahter,B2,I-type (back),زعتر,Zahter serpti.,رشت الزعتر.
renkli,B1,E-type (front),ملون,Renkli resim yaptım.,رسمت صورة ملونة
daire,B1,E-type (front),دائرة,Daire çizdim.,رسمت دائرة
çizgi,B1,E-type (front),خط,Düz bir çizgi çizdim.,رسمت خطاً مستقيماً
cetvel,A2,E-type (front),مسطرة,Cetvel ile çizgi çektim.,رسمت خطاً بالمسطرة.
üçgen,B2,E-type (front),مثلث,Üçgen çizmek kolay.,رسم المثلث سهل
gemi,A2,E-type (front),سفينة,Gemi limana yanaştı.,رست السفينة في الميناء
nazik,A2,E-type (front),مهذب,Nazik adam,رجل مهذب
yaşlı,A2,I-type (back),مسن,Yaşlı bir adam.,رجل مسن
güçlü,A2,E-type (front),قوي,Güçlü adam,رجل قوي
güçlü,A2,E-type (front),قوي,Güçlü bir adam.,رجل قوي
